SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
0897900003011000,42.9217174278,-78.8652410167,2009,26000,712 LINWOOD AVE,220,TWO FAMILY DWELLING
0904000008036000,42.9342473959,-78.8151945871,2017,65000,84 ANDOVER,220,TWO FAMILY DWELLING
0902400004016000,42.9399392236,-78.8153871626,2008,27500,599 AMHERST EAST,210,ONE FAMILY DWELLING
0904300003011000,42.9345987073,-78.8007589415,2002,42400,346 MARTHA,210,ONE FAMILY DWELLING
0902500002013000,42.9409805089,-78.8090000309,2004,20000,140 WESTMINSTER,210,ONE FAMILY DWELLING
0903400003007000,42.9387234959,-78.8040755181,2000,37000,48 LEONARD,220,TWO FAMILY DWELLING
0903700005006000,42.9342290796,-78.8343016347,2016,23000,129 WAKEFIELD,210,ONE FAMILY DWELLING
0893000002005000,42.9375159168,-78.8756468279,2014,226000,82 CHATHAM,210,ONE FAMILY DWELLING
0904200003018000,42.9355938292,-78.803277682,2004,19000,273 PHYLLIS,210,ONE FAMILY DWELLING
0895200005006000,42.9310592292,-78.8379448425,2019,20000,251 DEWEY,210,ONE FAMILY DWELLING
0893400003040000,42.9377683954,-78.848520096,2018,250000,327 WOODWARD,220,TWO FAMILY DWELLING
0903200008011000,42.9365694717,-78.8153594326,1998,46400,62 FREEMAN,220,TWO FAMILY DWELLING
0903700003032000,42.9354231657,-78.8319109569,2016,28000,192 VICTORIA,220,TWO FAMILY DWELLING
0903200004040000,42.9388589613,-78.8152584316,2014,50000,54 MIDWAY,210,ONE FAMILY DWELLING
0888300005012000,42.9214449726,-78.888121917,2014,115000,218 PARKDALE,449,OTHER STORAGE & WAREHOUSE FACILITIES
0887400003011000,42.9255091019,-78.893311661,2010,50000,153 BIRD,210,ONE FAMILY DWELLING
0895700001006000,42.9305034416,-78.8572026331,2008,225000,33 BURBANK TERR,210,ONE FAMILY DWELLING
0896200002026000,42.9276222549,-78.875384989,2009,225000,55 GRANGER,220,TWO FAMILY DWELLING
0902500005007000,42.9396803325,-78.811117249,2013,45000,67 WESTMINSTER,220,TWO FAMILY DWELLING
0888200006013000,42.9204054485,-78.8957198659,2014,33000,74 LAFAYETTE AVE,220,TWO FAMILY DWELLING
0896700004033000,42.925574296,-78.8461012342,2011,40000,330 HUMBOLDT,210,ONE FAMILY DWELLING
0897800002072000,42.9211512502,-78.8710016878,1997,82000,46 ST JAMES,220,TWO FAMILY DWELLING
0892200003021000,42.9408018593,-78.8730476202,1994,166000,844 AMHERST ST,411,APARTMENT
0892100003008000,42.9411190004,-78.8765786913,2012,165000,47 ELMHURST,210,ONE FAMILY DWELLING
0896700004029000,42.9252882417,-78.8456245784,2011,55500,348 HUMBOLDT,210,ONE FAMILY DWELLING
0887600002025000,42.9243194102,-78.8856620086,2018,150000,370 POTOMAC,220,TWO FAMILY DWELLING
0897400007053000,42.92320054,-78.853625524,2012,95000,8 HEDLEY,210,ONE FAMILY DWELLING
0893000003005000,42.9365978874,-78.8755112399,2003,415000,282 MIDDLESEX,210,ONE FAMILY DWELLING
0897400006004000,42.9227032259,-78.8533537819,2009,58500,15 HEDLEY,220,TWO FAMILY DWELLING
0896300003037000,42.9273960437,-78.8687360272,1999,127000,49 BERKLEY,210,ONE FAMILY DWELLING
0902300001005000,42.9413666468,-78.8209383302,2010,15000,139 STOCKBRIDGE,210,ONE FAMILY DWELLING
0897400006034000,42.9223131336,-78.850042333,2014,64000,192 DELAVAN EAST,220,TWO FAMILY DWELLING
0904700004030000,42.9311673789,-78.8198642382,2004,12000,594 NORFOLK,210,ONE FAMILY DWELLING
0903100004014000,42.9365633458,-78.822352505,2016,52000,79 CLARENCE,220,TWO FAMILY DWELLING
0897800001070000,42.9219660438,-78.8741963034,1994,18000,677 DELAVAN WEST,220,TWO FAMILY DWELLING
